State,Q4 Dependent Students,Q4 Independent Students,Q4 Total,YTD Dependent Students,YTD Independent Students,YTD Total
Alabama                       ,20734,32901,53635,105153,120392,225545
Alaska                        ,1735,3869,5604,12186,17184,29370
Alberta                       ,27,22,49,136,100,236
American Samoa                ,452,271,723,1119,882,2001
Arizona                       ,19082,39367,58449,133814,169321,303135
Arkansas                      ,11340,20624,31964,65094,78956,144050
Blank                         ,41662,67,41729,170388,209,170597
British Columbia              ,25,28,53,200,151,351
California                    ,94391,199059,293450,1075744,1071931,2147675
Canada                        ,52,53,105,273,230,503
Colorado                      ,15953,28549,44502,113375,127641,241016
Connecticut                   ,11311,17651,28962,103516,78822,182338
Delaware                      ,3017,5084,8101,22676,21674,44350
District of Columbia          ,826,3298,4124,10091,16021,26112
Federated States of Micronesia,1147,463,1610,1658,848,2506
Florida                       ,74211,130798,205009,460105,565462,1025567
Foreign Country               ,3954,1839,5793,27514,7569,35083
Georgia                       ,47733,78161,125894,280240,320463,600703
Guam                          ,918,751,1669,3479,2835,6314
Hawaii                        ,2562,4259,6821,27277,23601,50878
Idaho                         ,3715,8233,11948,36095,41101,77196
Illinois                      ,32992,54903,87895,348294,271555,619849
Indiana                       ,10856,26338,37194,157644,150964,308608
Iowa                          ,8655,13150,21805,75373,56069,131442
Kansas                        ,9123,13919,23042,64083,59756,123839
Kentucky                      ,12383,25860,38243,97711,113134,210845
Labrador                      ,1,2,3,3,7,10
Louisiana                     ,19169,34196,53365,120525,133270,253795
Maine                         ,2355,4556,6911,30490,26168,56658
Manitoba                      ,5,3,8,27,21,48
Marshall Islands              ,568,192,760,766,410,1176
Maryland                      ,14114,30120,44234,148221,156180,304401
Massachusetts                 ,18229,26428,44657,184611,133153,317764
Mexico                        ,1734,80,1814,13365,354,13719
Michigan                      ,27938,48142,76080,249530,223341,472871
Minnesota                     ,29529,32520,62049,142867,111188,254055
Mississippi                   ,15198,24873,40071,77064,88436,165500
Missouri                      ,17296,29881,47177,137464,132324,269788
Montana                       ,2454,4625,7079,17249,20178,37427
Nebraska                      ,6099,8719,14818,47220,37167,84387
Nevada                        ,6827,14992,21819,55241,68568,123809
New Brunswick                 ,6,6,12,20,20,40
Newfoundland                  ,1,5,6,6,31,37
New Hampshire                 ,3051,4287,7338,32253,22448,54701
New Jersey                    ,34307,42587,76894,274456,185611,460067
New Mexico                    ,7285,13305,20590,39153,49417,88570
New York                      ,83359,93906,177265,539457,399603,939060
North Carolina                ,32524,63255,95779,233773,264940,498713
North Dakota                  ,3007,3729,6736,14533,13728,28261
Northern Mariana Islands      ,437,249,686,1433,811,2244
Northwest Territories         ,0,3,3,3,10,13
Nova Scotia                   ,2,4,6,12,12,24
Nunavut                       ,1,0,1,1,1,2
Ohio                          ,35419,58448,93867,268041,254924,522965
Oklahoma                      ,13174,22786,35960,74490,89603,164093
Ontario                       ,99,68,167,490,305,795
Oregon                        ,6232,16160,22392,83334,96440,179774
Palau                         ,159,102,261,419,274,693
Pennsylvania                  ,30996,46553,77549,310652,233322,543974
Prince Edward Island          ,6,6,12,11,15,26
Puerto Rico                   ,32904,34334,67238,122346,81323,203669
Quebec                        ,29,17,46,89,80,169
Rhode Island                  ,3649,4461,8110,28385,22287,50672
Saskatchewan                  ,4,5,9,25,20,45
South Carolina                ,20618,33332,53950,116118,126058,242176
South Dakota                  ,3197,3788,6985,18657,14703,33360
Tennessee                     ,15064,38139,53203,180978,182266,363244
Texas                         ,96631,171797,268428,676464,724607,1401071
Utah                          ,10407,22586,32993,55730,88022,143752
Vermont                       ,1309,1994,3303,13803,9801,23604
Virginia                      ,24403,45501,69904,195082,196868,391950
Virgin Islands                ,316,386,702,2265,1729,3994
Washington                    ,13186,32143,45329,139885,176091,315976
West Virginia                 ,3060,7959,11019,37704,39372,77076
Wisconsin                     ,18635,24958,43593,131385,105750,237135
Wyoming                       ,1717,3004,4721,9418,12243,21661
Yukon                         ,3,5,8,5,22,27
