zip5,total_pop,white_pop,black_pop,hispanic_pop,owner_pop,renter_pop,hhi_0_24999_pop,hhi_25k_49999_pop,hhi_50k_74999_pop,hhi_75k_99999_pop,hhi_100k_149999_pop,hhi_200k_plus_pop
20601,26401,8791,13650,1844,19734,6633,507,1042,1556,1286,2378,1171
20602,26078,6556,15777,1605,16836,8975,1358,1702,1761,1555,2362,550
20603,31401,8328,17737,1971,24440,6943,738,1090,1357,1679,2543,1633
20613,13855,3212,8766,955,12628,1223,409,479,369,626,976,870
20620,1365,1076,252,17,1130,231,176,43,25,16,201,32
20623,2934,389,2279,87,2840,30,16,26,86,103,259,127
20634,7334,4706,2015,210,4759,2547,320,433,327,377,828,124
20639,15139,11637,1433,641,13545,1576,193,360,404,632,1118,1055
20640,10018,4190,4358,608,7267,2432,510,843,600,483,624,228
20646,20974,13877,4853,686,16699,3198,681,991,983,903,1616,1036
20650,14096,11673,1157,341,10862,2784,558,695,651,766,1085,888
20657,18963,15077,2504,526,15581,3369,438,796,1325,1288,1714,694
20660,26,26,0,0,0,26,26,0,0,0,0,0
20675,2161,1403,430,48,1993,168,103,128,78,90,204,103
20678,12418,8463,2530,785,9761,2235,646,653,648,418,897,400
20695,7924,2652,4575,428,6505,1419,280,210,472,444,695,328
20705,27873,4922,11429,8006,17603,9961,976,1273,1522,1687,1842,792
20706,42397,2524,29221,8967,26962,15142,1054,2445,2699,1977,2720,850
20707,32556,8945,14596,5048,20609,11740,1292,2072,2247,1823,2226,1325
20710,9794,407,6517,2589,3139,6639,836,1248,677,279,435,21
20715,26768,13411,8283,2735,22702,2600,468,833,1055,1242,2373,1402
20721,29811,2265,25188,1072,26840,2783,451,571,1158,1004,2425,2293
20735,39323,2712,33358,2587,34053,4572,858,972,1440,2116,3488,1521
20736,9491,7580,1109,196,8694,791,58,261,316,287,707,738
20737,21787,2482,7123,10964,10159,11471,852,1298,1273,810,958,266
20740,31848,13725,6548,5652,12105,15366,2013,1492,1560,918,1923,797
20743,39234,978,33952,3616,26829,12170,2493,3026,2916,2075,2245,538
20744,54453,4039,38855,7155,42094,12096,1396,2015,3140,2620,4116,2685
20745,28472,1341,20402,5418,12302,16121,1531,2637,2402,1561,1530,532
20746,27241,1758,22622,1890,11382,15846,1657,2135,2638,1829,1871,429
20747,39946,889,35963,2478,21270,18484,2056,3605,3282,2197,2462,597
20748,38011,1477,32640,2915,21371,16532,1955,3017,3044,2019,2725,716
20755,10297,5761,1993,1168,68,8667,185,655,470,475,601,107
20759,5011,3308,847,232,4327,667,85,62,69,104,304,755
20770,24629,6025,12177,4194,9856,14772,1052,1975,2068,1530,1847,395
20772,44948,4953,35866,2387,36586,7276,1056,1725,1878,2582,4079,2388
20774,46812,1738,41716,1448,38331,8320,1394,2023,2895,2794,3965,2302
20776,3149,2379,505,27,2817,322,156,156,76,302,145,232
20781,11626,2923,3226,5006,6426,5040,391,800,584,550,653,353
20782,32553,4898,12483,13133,14647,17477,1225,2356,2270,1982,1686,566
