state,total_pop,white_pop,black_pop,hispanic_pop,owner_pop,renter_pop,hhi_0_24999_pop,hhi_25k_49999_pop,hhi_50k_74999_pop,hhi_75k_99999_pop,hhi_100k_149999_pop,hhi_200k_plus_pop
Alabama,4864680,3196730,1293186,203146,3311450,1434431,503765,448861,324321,213319,222047,69504
Alaska,738516,450754,24129,51186,473217,237900,34368,44288,45311,36073,49596,20134
Arizona,6946685,3825886,305259,2163312,4328402,2462278,525729,600396,472904,315900,342507,133692
Arkansas,2990671,2173849,460970,219052,1943079,963380,312150,308418,206581,124254,123154,37690
California,39148760,14695836,2267875,15221577,21294130,17035151,2266017,2438795,2065373,1589511,2102239,1421052
Colorado,5531141,3778212,227938,1184794,3622104,1789202,335903,428090,376682,288416,358101,166282
Connecticut,3581504,2418696,378262,561791,2408700,1057962,220373,243078,212056,170246,235539,162410
Delaware,949495,595623,209892,86315,664813,259631,60576,76166,64668,50512,56761,23514
District of Columbia,684498,248057,321317,74776,285293,359585,56331,39947,34887,30248,45761,47342
Florida,20598139,11196857,3316376,5184720,13009337,7157164,1681051,1905753,1401435,907315,948979,409038
Georgia,10297484,5476441,3239300,968463,6433382,3603768,815427,862886,659327,453876,500979,215171
Hawaii,1422029,314536,26266,147962,837800,540198,66406,76866,75914,64472,88306,42578
Idaho,1687809,1387654,11536,209073,1169931,487848,131560,158215,124971,76641,79368,22323
Illinois,12821497,7894286,1824125,2174842,8602939,3920658,940491,993173,828597,613917,751099,367695
Indiana,6637426,5275162,619472,450267,4594066,1855681,541312,634489,492893,335317,339806,96657
Iowa,3132499,2695888,109911,183296,2241497,790918,243831,292976,242888,178095,184270,53210
Kansas,2908776,2214543,169801,340616,1957677,871031,220255,271840,212681,147236,159129,54627
Kentucky,4440204,3764082,354112,158744,2955765,1353300,456144,431408,306863,199666,205995,61071
Louisiana,4663616,2744265,1502916,234920,3031410,1502811,487123,409395,281253,188543,213279,74483
Maine,1332813,1244525,17881,21421,981718,315084,121589,130289,105575,74153,76835,22952
Maryland,6003435,3084868,1788090,588912,4031206,1831677,298901,364515,350164,286460,413292,256549
Massachusetts,6830193,4930412,510558,789127,4364655,2214898,454766,432495,382288,311620,461850,311680
Michigan,9957488,7489371,1375424,497897,7142169,2585932,847880,936824,719122,485187,531579,187024
Minnesota,5527358,4438071,342186,292764,4034527,1359971,348609,440603,390319,303935,373387,154057
Mississippi,2988762,1696952,1125834,90493,1976579,915762,332099,281891,186492,123926,114712,29768
Missouri,6090062,4848330,704896,249105,4104047,1810957,526961,597310,444753,300226,310792,104710
Montana,1041732,898953,4630,39019,707562,305301,94310,107837,80851,51580,53523,16939
Nebraska,1904760,1512314,90860,203281,1285720,567089,141067,177796,145890,103433,113583,33671
Nevada,2922849,1458093,261123,831597,1630950,1254199,207647,260236,205861,143651,151648,50659
New Hampshire,1343622,1214547,20516,48356,971783,329259,75843,99131,92251,73982,97431,44540
New Jersey,8881845,4960005,1196764,1768020,5772234,2924825,511357,542214,479792,389646,563372,416737
New Mexico,2092434,788308,43006,1015751,1411420,638056,210786,189804,134481,87444,91320,28863
New York,19618453,10959534,3068099,3705588,10836283,8207322,1515257,1400030,1140869,868488,1124622,712800
North Carolina,10155624,6433039,2179622,935950,6540849,3342061,896547,977788,708108,471985,488380,191936
North Dakota,752201,639477,20445,26529,490887,235766,57082,67839,57047,45061,51850,17483
Ohio,11641879,9220638,1438271,431327,7782257,3545527,1035707,1109482,853816,586108,633373,208645
Oklahoma,3918137,2586110,287959,407521,2537974,1270040,346757,372451,274820,179466,179436,59235
Oregon,4081943,3103557,77789,523956,2545176,1448791,313948,362172,292644,209965,231031,91180
Pennsylvania,12791181,9826865,1423319,905156,8908982,3457067,1026802,1112447,900668,646375,739240,302803
Rhode Island,1056611,767727,69254,158858,649256,365613,86763,80813,67856,51575,67321,27466
South Carolina,4955925,3156973,1339360,275685,3345363,1473765,456515,473582,348661,229417,228671,76628
South Dakota,864289,710810,16241,31995,590109,240172,67396,84008,66683,49022,46763,13388
Tennessee,6651089,4924145,1117489,352402,4377881,2118314,618194,643334,472557,305237,307251,110584
Texas,27885195,11807263,3365783,10921556,17683785,9601665,1910752,2140982,1695206,1168213,1392056,657562
Utah,3045350,2394238,35862,422123,2174629,824044,134759,198961,193693,145363,168909,54814
Vermont,624977,581023,8058,11677,442088,157514,50869,57416,48928,36469,39662,12883
Virginia,8413774,5233111,1613285,771177,5522835,2646746,511222,594577,523312,404293,524949,314524
Washington,7294336,5039208,269854,911573,4652472,2499304,444042,549763,496395,381845,478216,234221
West Virginia,1829054,1684756,66728,27522,1325528,455507,208844,191280,131734,80561,78775,19616
Wisconsin,5778394,4711038,368744,385779,3953652,1678088,444260,547794,447485,326010,352887,103661
Wyoming,581836,489559,5540,56966,406435,161204,41974,51551,42296,33077,39494,9515
Puerto Rico,3386941,28015,365010,3349340,2321906,1027791,695882,288249,120479,46497,33347,10527
