school,school_type,zip5,county
A. MARIO LOIEDERMAN MIDDLE,public,20906,montgomery county
ABBOTTSTON ELEMENTARY,public,21218,baltimore city
ABERDEEN HIGH,public,21001,harford county
ABERDEEN MIDDLE,public,21001,harford county
ABINGDON ELEMENTARY,public,21009,harford county
ACADEMY FOR COLLEGE AND CAREER EXPLORATION,public,21211,baltimore city
ACADEMY OF HEALTH SCIENCES AT PGCC,public,20774,prince george's county
ACCIDENT ELEMENTARY,public,21520,garrett county
ACCOKEEK ACADEMY,public,20607,prince george's county
ACHIEVEMENT ACADEMY @ HARBOR CITY HIGH,public,21214,baltimore city
ADELPHI ELEMENTARY,public,20783,prince george's county
AFTERNOON GROUP LEARNING CENTERS,public,21204,baltimore county
AFYA PUBLIC CHARTER SCHOOL,public,21213,baltimore city
ALBERT EINSTEIN HIGH,public,20895,montgomery county
ALEXANDER HAMILTON ELEMENTARY,public,21216,baltimore city
ALLEGANY HIGH,public,21502,allegany county
ALLENWOOD ELEMENTARY,public,20748,prince george's county
ALTERNATIVE PROGRAMS,public,20853,montgomery county
ANDREW JACKSON ACADEMY,public,20747,prince george's county
ANNAPOLIS ELEMENTARY,public,21401,anne arundel county
ANNAPOLIS HIGH,public,21401,anne arundel county
ANNAPOLIS MIDDLE,public,21403,anne arundel county
ANNAPOLIS ROAD ACADEMY,public,20721,prince george's county
ANNE ARUNDEL EVENING HIGH,public,21146,anne arundel county
APPLE GROVE ELEMENTARY,public,20744,prince george's county
APPLICATIONS AND RESEARCH LABORATORY,public,21042,howard county
ARBUTUS ELEMENTARY,public,21227,baltimore county
ARBUTUS MIDDLE,public,21227,baltimore county
ARCOLA ELEMENTARY,public,20902,montgomery county
ARDMORE ELEMENTARY,public,20774,prince george's county
ARGYLE MIDDLE,public,20906,montgomery county
ARLINGTON ELEMENTARY/MIDDLE,public,21207,baltimore city
ARMISTEAD GARDENS ELEMENTARY/MIDDLE,public,21205,baltimore city
ARNOLD ELEMENTARY,public,21012,anne arundel county
ARROWHEAD ELEMENTARY,public,20772,prince george's county
ARTHUR MIDDLETON ELEMENTARY SCHOOL,public,20602,charles county
ARUNDEL ELEMENTARY,public,21225,baltimore city
ARUNDEL HIGH,public,21054,anne arundel county
ARUNDEL MIDDLE,public,21113,anne arundel county
ASHBURTON ELEMENTARY,public,20817,montgomery county
ATHOLTON ELEMENTARY,public,21046,howard county
ATHOLTON HIGH,public,21044,howard county
