state,case_peak_per_10k,pct_change_apps
Alabama,575.9618309940222,-0.04462967478773637
Alaska,517.2670598876666,-0.03197139938712972
Arizona,553.1285785954019,-0.017490557012552164
Arkansas,581.5250156235841,-0.0429364803887539
California,372.22481631602125,-0.024953496222659386
Colorado,496.0495492702139,-0.01662130314999834
Connecticut,389.5905183967406,-0.019869692549002404
Delaware,445.48944438885934,-0.03720405862457723
District of Columbia,348.48896563613044,-0.04247089460784314
Florida,524.9658719168756,-0.01721486748306059
Georgia,481.9944366992947,-0.00416678458406234
Hawaii,132.09997827048534,0.039506269900546405
Idaho,691.2986007302958,-0.030649256438157416
Illinois,634.8642440114443,-0.023983260439236008
Indiana,604.4798088897714,-0.007002410825383658
Iowa,796.6929917615297,-0.020267494408180035
Kansas,630.5298173527284,-0.03940600295545022
Kentucky,479.7009326598508,-0.025250776636865944
Louisiana,554.3702568993673,-0.02375539313225241
Maine,108.31226886292376,-0.04101803805287867
Maryland,371.4057035680406,-0.03075548372048712
Massachusetts,378.5837384097345,-0.0333832655681575
Michigan,447.1549451026203,-0.06190483239615033
Minnesota,657.3013725544827,-0.03854283521284761
Mississippi,571.0458042493849,-0.0326404833836858
Missouri,525.0964604301237,-0.03867481133334322
Montana,673.8201380009446,-0.034627408020947444
Nebraska,756.4785064785065,-0.006067285245357697
Nevada,604.5060829348351,0.02753434726069995
New Hampshire,201.7234013733029,-0.02533774519661432
New Jersey,430.60985639807944,-0.023846526701545644
New Mexico,539.801972248587,-0.016800270972112452
New York,199.86948002475017,-0.025826890720507742
North Carolina,405.82439838261047,-0.02230340897470088
North Dakota,1145.2922822490266,-0.005979972400127384
Ohio,446.75949646959907,-0.03489143632939107
Oklahoma,568.9591762615753,-0.013602042744053676
Oregon,216.33815072870937,-0.04800471703360886
Pennsylvania,352.70707216167136,-0.039038630522782336
Rhode Island,567.2002278984413,-0.026898484370066308
South Carolina,483.1469402785555,-0.031452332188160674
South Dakota,1018.4440621134828,-0.028237410071942446
Tennessee,620.0217738779319,-0.03063505522458733
Texas,497.2721187712691,0.011923021745507544
Utah,729.610717979871,0.010406811731315043
Vermont,84.4351072119454,-0.04274699203524826
Virginia,317.6434261248282,-0.02080112259216737
Washington,271.40373023672066,-0.023425829809858977
West Virginia,319.62971022178675,-0.026532253879287974
Wisconsin,782.5357703195732,-0.0387711641048348
Wyoming,651.1284966897889,0.025806749457550435
